Qty;Value;Device;Package;Parts;Description;ARROW;BUERKLIN;COMMENT;DIGI-KEY;FARNELL;FREQUENCY;HANSKOLB;MOUSER;REICHELT;TP_SIGNAL_NAME;VALUE;WEIDINGER;WUERTH
1;0R;R-R1206-0R;R1206;R401;Resistors;;3,30E+101;;;;;;;RND 1206 0;;0R;;
2;1.0n X7R;C-C0603-X7R-1N;C0603K;C102, C202;Capacitors;;53D2032;50V, 10%;;;;;;X7R-G0603 1,0N;;1.0n X7R;;8,85012E+11
1;1.0u X7R;C-C0603-X7R-1U-16V;C0603K;C401;Capacitors;;75D9209;16V, 10%;;1658870;;;;;;1.0u X7R;;
2;1.0µ 35V;C-POL-PANASONIC_B-1U35V;PANASONIC_B;C301, C302;;;;20%, 105°C, Low ESR;;;;;;FC-V 1,0U 35;;1.0µ 35V;;
6;100n X7R;C-C0603-X7R-100N;C0603K;C101, C201, C402, C403, C404, C405;Capacitors;;53D2071;50V, 10%;;;;;;X7R-G0603 100N;;100n X7R;;
2;100n X7R;C-C1206-X7R-100N;C1206K;C303, C304;Capacitors;;53D336;50V, 10%;;1414715;;;;X7R-G1206 100N;;100n X7R;;8,85012E+11
3;100u 10V;C-POL-PANASONIC_D-100U10V;PANASONIC_D;C307, C308, C309;;;;D=6.3mm, H=5.4mm, Panasonic:  EEEHA1A101WP ;;1973294;;;;;;100u 10V;;
4;10k;R-R0603-10K;R0603;R112, R113, R201, R202;Resistors;;26E816;;;;;;;SMD-0603 10K;;10k;;
2;22k;R-R0603-22K;R0603;R303, R304;Resistors;;;;;;;;;SMD-0603 22K;;22k;;
2;22p NP0;C-C0603-NP0-22P;C0603K;C203, C204;Capacitors;;56D106;50V, 5%;;;;;;;;22p NP0;;
1;32768Hz;CRYSTALCM7V-T1A;CRYSTAL-CM7V-T1A;XTAL201;Quarz Crystal;;77D985;;;;32768;;;;;32768Hz;;
